ID,COUNTRY,ISO3,GEO,DEV,YEAR,CAT1,CAT2,DESCR,AUTH,AUTHCAT,BIND,
144,Netherlands,NLD,Europe & Central Asia,HIC,2017,Climate risk management,GPP,Assessment of Climate-Related Risks for the Dutch Financial Sector,De Nederlandsche Bank (DNB) ,1,1,
145,Bangladesh,BGD,South Asia,LMIC,2017,Climate risk management,GPP,Environmental and Social Risk Management (ESRM) Guidelines,Bangladesh Bank (BB) ,1,1,
146,Kazakhstan,KAZ,Europe & Central Asia,UMIC,2017,Disclosure requirements for non-financial institutions,OGD,Listing Rules for the Kazakhstan Stock Exchange Require Disclosure of Environmental and Social Information,Kazakhstan Stock Exchange ,3,1,
147,France,FRA,Europe & Central Asia,HIC,2017,Green finance guidelines,GFP,French Strategy for Green Finance,Government,3,1,
148,Japan,JAP,East Asia & Pacific,HIC,2017,Green finance guidelines,GFP,Japan's Guidebook on Environmental, Social, and Governance (ESG) Investment, Government of Japan, Ministry of the Environment, Japan (MOEJ),3,1,
149,Singapore,SGP,East Asia & Pacific,HIC,2017,Green finance guidelines,GFP,Collaborative Initiative for Green Finance in Singapore,Singapore Institute of International Affairs, Inquiry into the Design of a Sustainable Financial System (UN Environment Inquiry) ,4,1,
150,Indonesia,IDN,East Asia & Pacific,LMIC,2017,Green finance guidelines,GFP,Indonesia's Clean Energy Handbook for Financial Service Institutions, Financial Services Authority of Indonesia (OJK),2,1,
151,Pakistan,PAK,South Asia,LMIC,2017,Green finance guidelines,GFP,Green Banking Guidelines,State Bank of Pakistan ,1,1,
152,Thailand,,East Asia & Pacific,UMIC,2017,Green finance guidelines,GFP,Investment Governance Code for Institutional Investors,Securities and Exchange Commission ,3,1,
153,Singapore,SGP,East Asia & Pacific,HIC,2017,Green bonds,GB,Singapore's Sustainable Bond Grant Scheme,Monetary Authority of Singapore ,1,1,
154,China,CHN,East Asia & Pacific,UMIC,2017,Green bonds,GB,China Securities Regulatory Commission Green Bond Assessment Guidelines for Listed Companies,People's Bank of China and the China Securities Regulatory Commissions (CSRC) ,4,1,
155,China,CHN,East Asia & Pacific,UMIC,2017,Green bonds,GB,Guiding Opinions of the China Securities Regulatory Commission on Supporting the Development of Green Bonds,China Securities Regulatory Commission ,2,1,
156,South Korea,KOR,East Asia & Pacific,HIC,2017,Credit allocation,GCA,UNEP FI SIGNATORY SHINHAN BANK LAUNCHES A NEW GREEN LOAN PROGRAM,Shinhan Bank, Ministry of Environment and UNEP,4,3,
157,Indonesia,IDN,East Asia & Pacific,LMIC,2017,Credit allocation,GCA,Indonesia's Regulation on the Application of Sustainable Finance (No. 51/POJK.03/2017),Financial Services Authority of Indonesia (OJK),2,3,
158,Austria,AUT,Europe & Central Asia,HIC,2017,Disclosure requirements for non-financial institutions,OGD,Sustainability and Diversity Improvement Act 257/ME (Nachhaltigkeits- und Diversitätsverbesserungsgesetz),Austrian Federal Government ,3,3,
159,Croatia,HRV,Europe & Central Asia,HIC,2017,Disclosure requirements for non-financial institutions,OGD,Croatian Accounting Act,Government of Croatia ,3,3,
160,Cyprus,CYP,Europe & Central Asia,HIC,2017,Disclosure requirements for non-financial institutions,OGD,Companies Number 3 Law of 2017,Government of Cyprus ,3,3,
161,Czech Republic,CZE,Europe & Central Asia,HIC,2017,Disclosure requirements for non-financial institutions,OGD,Act No. 563/1991 Coll. On accounting,Government of Czech Republic,3,3,
162,France,FRA,Europe & Central Asia,HIC,2017,Disclosure requirements for non-financial institutions,OGD,France Requires Companies to include Environmental and Social Issues in Non-Financial Declarations (Order No. 2017-1180 and Decree No. 2017-1265),Government,3,3,
163,India,IND,South Asia,LMIC,2017,Disclosure requirements for non-financial institutions,OGD,Disclosure requirements for issuance and listing of debt securities, The Securities and Exchange Board of India,3,3,
164,Thailand,,East Asia & Pacific,UMIC,2017,Disclosure requirements for non-financial institutions,OGD,Thailand's Corporate Governance Code Requires Sustainability Reporting,Securities and Exchange Commission of Thailand ,3,3,
165,France,FRA,Europe & Central Asia,HIC,2017,Green bonds,GB,Île-de-France has Issued EUR 2.7 Billion Through Green and Sustainability Bonds Between 2012 and 2017,Region Ile de France,3,3,
166,France,FRA,Europe & Central Asia,HIC,2017,Green bonds,GB,France has Issued an EUR 7.5 Billion Green Bond,Directorate General of the Treasury ,3,3,
167,Germany,DEU,Europe & Central Asia,HIC,2017,Green bonds,GB,Germany's State of North-Rhine Westphalia has Issued Three Sustainability Bonds,The State of North-Rhine Westphalia ,3,3,
168,Latvia,LVA,Europe & Central Asia,HIC,2017,Green bonds,GB,Latvian state-owned development finance institution issued a green bond,Altum ,3,3,
169,Indonesia,IDN,East Asia & Pacific,LMIC,2017,Green bonds,GB,Indonesia's Regulation on the Issuance and the Terms of Green Bond (No. 60/POJK.04/2017) Sets Standards for Green Bond Issuance,Financial Services Authority of Indonesia (OJK) ,2,3,
170,Kenya,KEN,Sub-Saharan Africa,LMIC,2017,Green bonds,GB,The Kenya Green Bond Programme,Kenya Bankers Association (KBA), Nairobi Securities Exchange (NSE), Climate Bonds Initiative, Financial Sector Deepening (FSD) Africa, FMO - Dutch Development Bank, Kenyan Government Stakeholders ,4,3,
171,Morocco,MAR,Middle East & North Africa,LMIC,2017,Green bonds,GB,First Green Bond issuance on the Moroccan Market,Moroccan Agency for Sustainable Energy (MASEN) ,3,3,
172,Nigeria,NGA,Sub-Saharan Africa,LMIC,2017,Green bonds,GB,Green Bond Framework,The Federal Ministry of Environment of the Republic of Nigeria in partnership with the Federal Ministry of Finance, represented by the Debt Management Office ,3,3,
173,Nigeria,NGA,Sub-Saharan Africa,LMIC,2017,Green bonds,GB,Nigeria has Issued a USD 29.7 Million Green Bond,Ministry of Finance and Ministry of Environment ,3,3,
174,Fiji,FJI,East Asia & Pacific,UMIC,2017,Green bonds,GB,Fiji has Issued a USD 50 Million Green Bond,Ministry of Economy and Reserve Bank of Fiji ,3,3,
"175,South Africa,ZAF,Sub-Saharan Africa,UMIC,2017,Disclosure requirements for non-financial institutions,OGD,

King IV Code on Corporate Governance in South Africa (applies also to banks), Institute of Directors in Southern Africa (IoDSA),3,2,"
176,South Africa,ZAF,Sub-Saharan Africa,UMIC,2017,Green finance guidelines,GFP,South Africa Sustainable Finance Initiative,National Treasury and market institutions,3,2,
177,Nepal,NPL,South Asia,LIC,2018,Climate risk management,GPP,Guideline on Environmental & Social Risk Management (ESRM) For Banks and Financial Institutions,Nepal Rastra Bank (NRB) ,1,1,
178,Nigeria,NGA,Sub-Saharan Africa,LMIC,2018,Disclosure requirements for non-financial institutions,OGD,Sustainability Disclosure Guidelines,The Nigerian Stock Exchange ,3,1,
179,Costa Rica,CRI ,Latin America & Caribbean,UMIC,2018,Disclosure requirements for non-financial institutions,OGD,Voluntary Guide for Creating Sustainability Reports,Bolsa Nacional de Valores (BNV) ,3,1,
180,Australia,AUS,East Asia & Pacific,HIC,2018,Green finance guidelines,GFP,Joint Statement in Support of a Sustainable Financial System for Australia and New Zealand,Investor Group on Climate Change, Principles for Responsible Investment, UNEP FI, Responsible Investment Association Australia,3,1,
181,Denmark,DNK,Europe & Central Asia,HIC,2018,Green finance guidelines,GFP,Danish Guidelines on Responsible Investment,Danish Business Authority ,2,1,
182,Finland,FIN,Europe & Central Asia,HIC,2018,Green finance guidelines,GFP,Finland's Responsible Investments Standards,Bank of Finland ,1,1,
183,France,FRA,Europe & Central Asia,HIC,2018,Green finance guidelines,GFP,Banque de France's 2018 Responsible Investment Report Shows Strong Non-Financial Performance,Banque de France,1,1,
184,France,FRA,Europe & Central Asia,HIC,2018,Green finance guidelines,GFP,Responsible Investment Charter of the Banque de France,Banque de France,1,1,
185,Germany,DEU,Europe & Central Asia,HIC,2018,Green finance guidelines,GFP,Green and Sustainable Finance Cluster Germany,Hessian Ministry of Economics and Deutsche Börse,3,1,
186,Japan,JAP,East Asia & Pacific,HIC,2018,Green finance guidelines,GFP,Japan's Environmental Reporting Guidelines, Government of Japan, Ministry of the Environment, Japan (MOEJ),3,1,
187,United Kingdom,,Europe & Central Asia,HIC,2018,Green finance guidelines,GFP,Review of the Impact of Climate Change on the UK Banking Sector,Bank of England,1,1,
188,United Kingdom,,Europe & Central Asia,HIC,2018,Green finance guidelines,GFP,The United Kingdom's Green Finance Task Force Issued Recommendations on Accelerating Green Finance,Green Finance Taskforce,3,1,
189,Indonesia,IDN,East Asia & Pacific,LMIC,2018,Green finance guidelines,GFP,Indonesia Sustainable Finance Initiative,Bank Artha Graha Indonesia, BRI Syariah, Bank Central Asia, Bank Mandiri, Bank Muamalat, Bank Negara Indonesia, Bank Pembangunan Daerah Jawa Barat dan Banten, and Bank Rakyat Indonesia (supported by OJK),4,1,
190,Kenya,KEN,Sub-Saharan Africa,LMIC,2018,Green finance guidelines,GFP,National Policy on Climate Finance,National Treasury of the Republic of Kenya ,2,1,
191,Argentina,ARG,Latin America & Caribbean,UMIC,2018,Green finance guidelines,GFP,Sustainable Finance Protocol (2019?),Banking assosication,3,1,
192,China,CHN,East Asia & Pacific,UMIC,2018,Green finance guidelines,GFP,Guidelines for Corporate Governance of Listed Companies in China,China Securities Regulatory Commission,2,1,
193,China,CHN,East Asia & Pacific,UMIC,2018,Green finance guidelines,GFP,China's Green Investment Guidelines,The Asset Management Association of China and the China Securities Regulatory Commission,4,1,
194,Russian federation,RUS,Europe & Central Asia,UMIC,2018,Green finance guidelines,GFP,Policy brief “Green finance: the agenda for Russia”,The Ministry of Finance of the Russian federation and the Central Bank of Russia,4,1,
195,Russian federation,RUS,Europe & Central Asia,UMIC,2018,Green finance guidelines,GFP,Vnesheconombank (VEB) Sustainability Roadmap/Policy brief “Green finance: the agenda for Russia”,Vnesheconombank (VEB),3,1,
196,Egypt,EGY,Middle East & North Africa,LMIC,2018,Green bonds,GB,Egypt’s Financial Regulatory Authority Green Bond Guidelines,Financial Regulatory Authority (FRA) ,2,1,
197,Morocco,MAR,Middle East & North Africa,LMIC,2018,Green bonds,GB,Guidelines on green, social and sustainable bonds,Moroccan Capital Market Authority (AMMC) ,2,1,
"198,Argentina,ARG,Latin America & Caribbean,UMIC,2018,Green bonds,GB,General Resolution No. 764/2018 - Annex I ""Argentina Guidelines for the Offering of Green Social and Sustainable Bonds"" and Resolution 788/2019,Comisión Nacional de Valores (the Argentine Securities and Exchange Commission) ,2,1,"
199,China,CHN,East Asia & Pacific,UMIC,2018,Green bonds,GB,China’s Green Bond Verification Guidelines,The People’s Bank of China (PBoC) and China Securities Regulatory Commission (CSRC) ,4,1,
200,Costa Rica,CRI,Latin America & Caribbean,UMIC,2018,Green bonds,GB,The National Stock Exchange of Costa Rica Launched Initiatives to Develop the Green Bond Market,Bolsa Nacional de Valores (BNV) ,3,1,
201,Mexico,MEX,Latin America & Caribbean,UMIC,2018,Green bonds,GB,Mexico's Green Bonds Principles,Consejo Consultivo de Finanzas Climáticas (Climate Finance Advisory Group) ,3,1,
202,Paraguay,PRY,Latin America & Caribbean,UMIC,2018,Climate risk management,GPP,Guide for Environmental and Social risk management,Central Bank of Paraguay ,1,3,
203,Canada,CAN,North America,HIC,2018,Disclosure requirements for non-financial institutions,OGD,Review of Issuers' Disclosure of Climate-Related Risks and Financial Impacts (CSA Staff Notice 51-354),Canadian Securities Administrators,3,3,
204,United Kingdom,,Europe & Central Asia,HIC,2018,Disclosure requirements for non-financial institutions,OGD,Environmental, Social, and Governance (ESG) Disclosure Requirements Included in Amendment to the United Kingdom's Occupational Pension Schemes Regulation,UK Pensions Regulator,4,3,
205,Brazil,BRA,Latin America & Caribbean,UMIC,2018,Disclosure requirements for non-financial institutions,OGD,Brazil's Investment Rules of Occupational Pension Funds Requires Asset Managers to Consider Environmental, Social, and Governance (ESG) Risks,Brazilian Monetary Council (CMN),2,3,
206,Belgium,BEL ,Europe & Central Asia,HIC,2018,Green bonds,GB,Belgium has Issued an EUR 4.5 Billion Green Bond,Ministry of Finance ,3,3,
207,Iceland,ISL,Europe & Central Asia,HIC,2018,Green bonds,GB,The City of Reykjavík Green Bond Framework,City of Reykjavík ,3,3,
208,Ireland,IRL,Europe & Central Asia,HIC,2018,Green bonds,GB,Irish Sovereign Green Bond Framework,National Treasury Management Agency ,3,3,
209,Lithuania,LTA,Europe & Central Asia,HIC,2018,Green bonds,GB,The Government of the Republic of Lithuania issued a Sovereign Green Bond,Government of the Republic of Lithuania ,3,3,
210,Luxembourg,LUX,Europe & Central Asia,HIC,2018,Green bonds,GB,Luxembourg Establishes the World's First Legal Framework for Green Covered Bonds,Ministry of Finance ,3,3,
211,Seychelles,SYC,Sub-Saharan Africa,HIC,2018,Green bonds,GB,Seychelles’ Sovereign Blue Bond,Republic of the Seychelles ,3,3,
212,Indonesia,IDN,East Asia & Pacific,LMIC,2018,Green bonds,GB,Indonesia Issued US$1.25 Billion Green Sukuk,Ministry of Finance ,3,3,
213,China,CHN,East Asia & Pacific,UMIC,2018,Green bonds,GB,Green Bond Grant Scheme,Hong Kong Government ,3,3,
214,Italy,ITA,Europe & Central Asia,HIC,2018,Green finance guidelines,GFP,Italy Introduces Regulation that Highlights the Importance of Environmental and Social Factors in Insurance Undertakings (No. 38/2018),Istituto per la Vigilanza Sulle Assicurazioni (IVASS),3,2,
215,Mexico,MEX,Latin America & Caribbean,UMIC,2018,Green finance guidelines,GFP,Investment Guidelines for Mexico's Retirement Funds Administrators,CONSAR,3,2,
216,Austria,AUT,Europe & Central Asia,HIC,2018,Green bonds,GB,Vienna Stock Exchange’s Green and Social Bonds Platform,Vienna Stock Exchange (Wiener Börse) ,3,2,
217,Hungary,HUN,Europe & Central Asia,HIC,2019,Credit Allocation,GCA,The Central Bank of Hungary’s Green Program,Central Bank of Hungary (MNB) ,1,1,
218,Belgium,BEL ,Europe & Central Asia,HIC,2019,Climate risk management,GPP,Financial Stability Report - Article on Climate-Related Risks and Sustainable Finance,National Bank of Belgium (NBB) ,1,1,
219,New Zealand,NZL,East Asia & Pacific,HIC,2019,Climate risk management,GPP,Phase 2 of the Reserve Bank Act Review Considers How Climate Risks Could Affect Financial Stability,Reserve Bank of New Zealand ,1,1,
220,Singapore,SGP,East Asia & Pacific,HIC,2019,Climate risk management,GPP,Singapore's Green Finance Action Plan,Monetary Authority of Singapore ,1,1,
221,Ghana,GHA,Sub-Saharan Africa,LMIC,2019,Climate risk management,GPP,Ghana Sustainable Banking Principles,Bank of Ghana ,1,1,
222,Morocco,MAR,Middle East & North Africa,LMIC,2019,Climate risk management,GPP,Roadmap for Aligning the Moroccan Financial Sector with Sustainable Development,Bank Al-Maghrib- Central Bank of Morrocco ,1,1,
223,Ghana,GHA,Sub-Saharan Africa,LMIC,2019,Disclosure requirements banks,GPP,Ghana Sustainable Banking Principles,Bank of Ghana ,1,1,
224,Greece,GRC,Europe & Central Asia,HIC,2019,Disclosure requirements for non-financial institutions,OGD,Athens Stock Exchange publishes ESG Reporting Guide,Athens Stock Exchange (ATHEX) ,3,1,
225,United Arab Emirates,,Middle East & North Africa,HIC,2019,Disclosure requirements for non-financial institutions,OGD,Abu Dhabi Securities Exchange creates ESG disclosure guidance for listed company,Abu Dhabi Securities Exchange (ADX) ,3,1,
226,Philippines,PHL,East Asia & Pacific,LMIC,2019,Disclosure requirements for non-financial institutions,OGD,Sustainability Reporting Guidelines for Publicly-Listed Companies,Philippines Securities and Exchange Commission (SEC) ,2,1,
227,Australia,AUS,East Asia & Pacific,HIC,2019,Green finance guidelines,GFP,The Reserve Bank of Australia's Deputy Governor Calls for Incorporating Climate Models in Economic Modelling,Reserve Bank of Australia,1,1,
228,Australia,AUS,East Asia & Pacific,HIC,2019,Green finance guidelines,GFP,Australian Sustainable Finance Initiative, Australian Sustainable Finance Initiative,3,1,
229,Austria,AUT,Europe & Central Asia,HIC,2019,Green finance guidelines,GFP,Focus Group Established to Discuss and Support the Implementation of Austria’s Green Finance Agenda,Austrian Federal Ministry of Finance and the Austrian Federal Ministry for Sustainability and Tourism ,3,1,
230,Canada,CAN,North America,HIC,2019,Green finance guidelines,GFP,Guidance on Reporting of Climate-Related Risks (CSA Staff Notice 51-538),Canadian Securities Administrator ,3,1,
231,France,FRA,Europe & Central Asia,HIC,2019,Green finance guidelines,GFP,Financial Stability Review - Greening the Financial System,Banque de France,1,1,
232,Germany,DEU,Europe & Central Asia,HIC,2019,Green finance guidelines,GFP,BaFin Guidance Notice on Dealing with Sustainability Risks,Bafin,2,1,
233,Germany,DEU,Europe & Central Asia,HIC,2019,Green finance guidelines,GFP,BaFin Perspectives Special Study on Sustainability Issues,Bafin,2,1,
234,Japan,JAP,East Asia & Pacific,HIC,2019,Green finance guidelines,GFP,TCFD Consortium of Japan,Japanese Financial Services Agency (JFSA), the Japanese Ministry of Economy, Trade and Industry (METI) and the Ministry of the Environment ,4,1,
235,Panama,PAN,Latin America & Caribbean,HIC,2019,Green finance guidelines,GFP,Guidelines for the issuance of Social, Green and Sustainable Securities,Panama Stock Exchange (Bolsa de Valores de Panama) ,3,1,
236,Singapore,SGP,East Asia & Pacific,HIC,2019,Green finance guidelines,GFP,Singapore's Green Finance Action Plan,Monetary Authority of Singapore ,1,1,
237,United Kingdom,,Europe & Central Asia,HIC,2019,Green finance guidelines,GFP,A Framework for Assessing Financial Impacts of Physical Climate Change,Bank of England and Prudential Regulation Authority (PRA),4,1,
238,United States of America,,North America,HIC,2019,Green finance guidelines,GFP,The Climate Risk and Resilience Working Group of the United States' National Association of Insurance Commissioners,National Association of Insurance Commissioners (NAIC),3,1,
239,Morocco,MAR,Middle East & North Africa,LMIC,2019,Green finance guidelines,GFP,Roadmap for Aligning the Moroccan Financial Sector with Sustainable Development,Bank Al-Maghrib- Central Bank of Morrocco ,1,1,
240,Mexico,MEX,Latin America & Caribbean,UMIC,2019,Green finance guidelines,GFP,Banco de México calls on financial sector to plan for environmental risks,Banco de Mexico,1,1,
241,Thailand,,East Asia & Pacific,UMIC,2019,Green finance guidelines,GFP,Thailand’s Guidelines for Responsible Lending,The Bank of Thailand ,1,1,
242,South Korea,KOR,East Asia & Pacific,HIC,2019,Green bonds,GB,Korea is Developing Green Bond Guidelines,Ministry of Finance and Strategy ,3,1,
243,Singapore,SGP,East Asia & Pacific,HIC,2019,Credit Allocation,GCA,Singapore's Green Investments Programme,Monetary Authority of Singapore ,1,3,
244,Bangladesh,BGD,South Asia,LMIC,2019,Credit Allocation,GCA,Bangladesh's Green Transformation Fund (GTF),Bangladesh Bank (BB) ,1,3,
245,India,IND,South Asia,LMIC,2019,Credit Allocation,GCA,Reserve Bank of India Guidelines on Lending to Priority Sectors, Including Renewable Energy,Reserve Bank of India,1,3,
246,Hungary,HUN,Europe & Central Asia,HIC,2019,Climate risk management,GPP,Hungary Credit Institutions to Establish Environmental Risk Management Systems,Central Bank of Hungary (MNB) ,1,3,
"247,United Kingdom,,Europe & Central Asia,HIC,2019,Climate risk management,GPP,Supervisory Statement (SS3/19) on Enhancing Banks’ and Insurers’ Approaches to Managing the Financial Risks from Climate Change 
(Largest banks and insurers),Bank of England and Prudential Regulation Authority (PRA),1,3,"
248,Australia,AUS,East Asia & Pacific,HIC,2019,Disclosure requirements for non-financial institutions,OGD,Australian Government Regulatory Bodies Say Climate Change Must Be Considered a Major Financial Risk and Call for More Disclosure,Australian Securities and Investments Commission (ASIC) and the Australian Prudential Regulatory Authority (APRA) ,4,3,
249,Australia,AUS,East Asia & Pacific,HIC,2019,Disclosure requirements for non-financial institutions,OGD,Australia Updates Guidance on Climate-Related Disclosure,Australian Securities & Investments Commission (ASIC),3,3,
250,France,FRA,Europe & Central Asia,HIC,2019,Disclosure requirements for non-financial institutions,OGD,France's Law on Energy and Climate Adds Coverage of Biodiversity, Ecosystems, and Renewable Energy to Investors' Non-Financial Reporting,Government of France,3,3,
251,Netherlands,NLD,Europe & Central Asia,HIC,2019,Disclosure requirements for non-financial institutions,OGD,The Dutch Authority for the Financial Markets' 2019 Agenda - Supervision in Transition,The Netherlands Authority for the Financial Markets (Autoriteit Financiële Markten, AFM) ,2,3,
252,Brazil,BRA,Latin America & Caribbean,UMIC,2019,Disclosure requirements for non-financial institutions,OGD,Brazilian Resolution 3.792/2009 Requires Pension Funds to State Whether They Consider Environmental and Social Issues in Investment Decisions,Brazilian Monetary Council (CMN),2,3,
253,Chile,CHL,Latin America & Caribbean,HIC,2019,Green bonds,GB,Chile has Issued the First Sovereign Green Bond in the Americas,Ministry of Finance ,3,3,
254,Netherlands,NLD,Europe & Central Asia,HIC,2019,Green bonds,GB,The Netherland Issued a Sovereign Green Bond,The Dutch State Treasury Agency (DSTA) ,3,3,
255,China,CHN,East Asia & Pacific,UMIC,2019,Green bonds,GB,Hong Kong Green Bond,The Hong Kong Monetary Authority ,1,3,
256,Australia,AUS,East Asia & Pacific,HIC,2019,Climate risk management,GPP,Internal Review of Impacts of Climate Change on Supervisory Guidance,Australian Prudential Regulation Authority (APRA),2,2,
257,Sweden,SWE,Europe & Central Asia,HIC,2019,Green finance guidelines,GFP,New Investment Guidelines for Sweden’s Pension Fund Include Higher Ambition Level on Sustainability,Third Swedish National Pension Fund (AP3) ,3,2,
258,United Kingdom,,Europe & Central Asia,HIC,2019,Green finance guidelines,GFP,Green Finance Strategy: Transforming finance for a greener future,Government,3,2,
259,Cambodia,KHM,East Asia & Pacific,LMIC,2019,Green finance guidelines,GFP,Sustainable Finance Principles,The Association of Banks in Cambodia (ABC) ,3,2,
260,Chile,CHL,Latin America & Caribbean,HIC,2020,Climate risk management,GPP,The Financial Market Commission’s Strategy for Addressing Climate Change in financial markets,Financial Market Commission (CMF) ,2,1,
261,Netherlands,NLD,Europe & Central Asia,HIC,2020,Climate risk management,GPP,Assessment of Biodiversity Risks for the Dutch Financial Sector,De Nederlandsche Bank (DNB) ,1,1,
262,Singapore,SGP,East Asia & Pacific,HIC,2020,Climate risk management,GPP,The Monetary Authority of Singapore Consults on Environmental Risk Management Guidelines for Financial Institutions,Monetary Authority of Singapore (MAS) ,1,1,
263,Switzerland,,Europe & Central Asia,HIC,2020,Climate risk management,GPP,Sustainable Finance Guidelines,Swiss Confederation ,3,1,
264,Switzerland,,Europe & Central Asia,HIC,2020,Climate risk management,GPP,Sustainability in Switzerland’s financial sector,Federal Office for the Environment (FOEN) and State Secretariat for International Finance (SIF) ,4,1,
265,United Arab Emirates,,Middle East & North Africa,HIC,2020,Climate risk management,GPP,United Arab Emirates Guiding Principles on Sustainable Finance,Dubai FSA, CBUAE, Insurance Authority, Securities and Commodities Authority, Financial Services Regulatory Authority of the Abu Dhabi Global Market, Ministry of Climate Change and Environment, Dubai Islamic Economy Development Centre, Dubai Financial Market, Nasdaq Dubai, and Abu Dhabi Securities Exchange ,4,1,
266,Sri Lanka,LKA,South Asia,LMIC,2020,Climate risk management,GPP,Roadmap for Sustainable Finance in Sri Lanka,Central Bank of Sri Lanka ,1,1,
267,Chile,CHL,Latin America & Caribbean,HIC,2020,Disclosure requirements banks,GPP,The Financial Market Commission’s Strategy for Addressing Climate Change in financial markets,Financial Market Commission (CMF) ,2,1,
268,Bahrain,BHR,Middle East & North Africa,HIC,2020,Disclosure requirements for non-financial institutions,OGD,ESG Reporting Guide,Bahrain Bourse ,3,1,
269,Japan,JAP,East Asia & Pacific,HIC,2020,Disclosure requirements for non-financial institutions,OGD,Practical Handbook for ESG Disclosure, Japan Exchange Group, Inc. and Tokyo Stock Exchange, Inc.,3,1,
270,United Arab Emirates,,Middle East & North Africa,HIC,2020,Green finance guidelines,GFP,Abu Dhabi Sustainable Finance Declaration,Abu Dhabi Global Market (ADGM) ,3,1,
271,United States of America,,North America,HIC,2020,Green finance guidelines,GFP,Managing Climate Risk in the U.S. Financial System,U.S. Commodity Futures Trading Commission,3,1,
272,Mongolia,MNG,East Asia & Pacific,LMIC,2020,Green finance guidelines,GFP,Mongolia Green Taxonomy,Financial Stability Commission of Mongolia ,2,1,
273,Sri Lanka,LKA,South Asia,LMIC,2020,Green finance guidelines,GFP,Roadmap for Sustainable Finance in Sri Lanka,Central Bank of Sri Lanka ,1,1,
274,Ukraine,,Europe & Central Asia,LMIC,2020,Green finance guidelines,GFP,Ukraine plans to mobilize sustainable finance,National Securities and Stock Market Commission (NSSMC) ,4,1,
275,Malaysia,MYS,East Asia & Pacific,UMIC,2020,Green finance guidelines,GFP,Discussion paper on ‘Climate Change and Principle-based Taxonomy’,Bank Negara Malaysia (BNM) ,1,1,
276,Russian federation,RUS,Europe & Central Asia,UMIC,2020,Green finance guidelines,GFP,Russian Green Finance Guidelines, Vnesheconombank (VEB),3,1,
277,South Africa,ZAF,Sub-Saharan Africa,UMIC,2020,Green finance guidelines,GFP,Development of a first national Green Finance Taxonomy for South Africa,South African National Treasury,3,1,
278,Japan,JAP,East Asia & Pacific,HIC,2020,Green bonds,GB,Japan's Green Bond Guidelines,Ministry of the Environment (MOEJ) ,3,1,
279,United Arab Emirates,,Middle East & North Africa,HIC,2020,Green bonds,GB,Green Bond Accelerator Programme,Abu Dhabi Department of Energy (DoE), Abu Dhabi Global Market (ADGM) and Abu Dhabi Securities Exchange (ADX). ,4,1,
280,Colombia,COL,Latin America & Caribbean,UMIC,2020,Green bonds,GB,Good Practice Guide for Issuing Green Bonds,Superintendencia Financiera de Colombia ,2,1,
281,Philippines,PHL,East Asia & Pacific,LMIC,2020,Climate risk management,GPP,Sustainable Finance Framework (Circular No. 1085),Central Bank of the Philippines (Bangko Sentral ng Pilipinas) ,1,3,
282,Philippines,PHL,East Asia & Pacific,LMIC,2020,Disclosure requirements banks,GPP,Sustainable Finance Framework (Circular No. 1085),Central Bank of the Philippines (Bangko Sentral ng Pilipinas) ,1,3,
283,Canada,CAN,North America,HIC,2020,Disclosure requirements for non-financial institutions,OGD,Mandatory climate-related financial disclosure for companies receiving LEEFF funding,Canada Development Investment Corporation,3,3,
284,New Zealand,NZL,East Asia & Pacific,HIC,2020,Disclosure requirements for non-financial institutions,OGD,The Reserve Bank of New Zealand’s Governor calls for mandatory disclosure of climate risk,New Zealand Government ,3,3,
285,New Zealand,NZL,East Asia & Pacific,HIC,2020,Disclosure requirements for non-financial institutions,OGD,New Zealand Mandatory TCFD Reporting,New Zealand Government ,3,3,
286,Switzerland,,Europe & Central Asia,HIC,2020,Disclosure requirements for non-financial institutions,OGD,Swiss Federal Council fleshes out proposals for sustainable Swiss financial centre,Swiss Federal Council ,3,3,
287,Peru,PER,Latin America & Caribbean,UMIC,2020,Disclosure requirements for non-financial institutions,OGD,SBS consults on ESG incorporation by pension funds,Superintendencia de Banca, Seguros y AFP ,4,3,
288,Germany,DEU,Europe & Central Asia,HIC,2020,Green bonds,GB,German Finance Agency launched first Green Federal Bond,German Federal Government ,3,3,
289,Luxembourg,LUX,Europe & Central Asia,HIC,2020,Green bonds,GB,Sustainability Bond Framework,Ministry of Finance ,3,3,
290,South Korea,KOR,East Asia & Pacific,HIC,2020,Green bonds,GB,Korea Exchange dedicated SRI Bonds Segment,Korea Exchange (KRX) ,3,3,
291,Sweden,SWE,Europe & Central Asia,HIC,2020,Green bonds,GB,Sweden’s Sovereign Green Bond Framework,Government Offices of Sweden ,3,3,
292,Egypt,EGY,Middle East & North Africa,LMIC,2020,Green bonds,GB,Egypt’s Ministry of Finance to issue Sovereign Bonds,Financial Regulatory Authority (FRA) ,2,3,
293,South Africa,ZAF,Sub-Saharan Africa,UMIC,2020,Green bonds,GB,Johannesburg Stock Exchange to evolve Green Bond Segment to all-encompassing Sustainability Segment,Johannesburg Stock Exchange ,3,3,
294,Thailand,,East Asia & Pacific,UMIC,2020,Green bonds,GB,Kingdom of Thailand’s first Sustainability Bond Issuance,Ministry of Finance, Public Debt Management Office ,3,3,
